YEAR,STATE,COMMODITY,DATA ITEM,METRIC,VALUE
2011,MISSOURI,RICE, ACRES PLANTED,ACRE,143000
2011,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,6490
2011,TEXAS,RICE, ACRES HARVESTED,ACRE,180000
2011,TEXAS,RICE, ACRES PLANTED,ACRE,182000
2011,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,7190
2010,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1785000
2010,ARKANSAS,RICE, ACRES PLANTED,ACRE,1791000
2010,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,6480
2010,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,553000
2010,CALIFORNIA,RICE, ACRES PLANTED,ACRE,558000
2010,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8020
2010,LOUISIANA,RICE, ACRES HARVESTED,ACRE,535000
2010,LOUISIANA,RICE, ACRES PLANTED,ACRE,540000
2010,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,6100
2010,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,303000
2010,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,305000
2010,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,6850
2010,MISSOURI,RICE, ACRES HARVESTED,ACRE,251000
2010,MISSOURI,RICE, ACRES PLANTED,ACRE,253000
2010,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,6480
2010,TEXAS,RICE, ACRES HARVESTED,ACRE,188000
2010,TEXAS,RICE, ACRES PLANTED,ACRE,189000
2010,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,7160
2009,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1470000
2009,ARKANSAS,RICE, ACRES PLANTED,ACRE,1486000
2009,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,6800
2009,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,556000
2009,CALIFORNIA,RICE, ACRES PLANTED,ACRE,561000
2009,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8600
2009,LOUISIANA,RICE, ACRES HARVESTED,ACRE,464000
2009,LOUISIANA,RICE, ACRES PLANTED,ACRE,470000
2009,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,6300
2009,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,243000
2009,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,245000
2009,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,6700
2009,MISSOURI,RICE, ACRES HARVESTED,ACRE,200000
2009,MISSOURI,RICE, ACRES PLANTED,ACRE,202000
2009,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,6710
2009,TEXAS,RICE, ACRES HARVESTED,ACRE,170000
2009,TEXAS,RICE, ACRES PLANTED,ACRE,171000
2009,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,7770
2008,ARKANSAS,RICE, ACRES HARVESTED,ACRE,1395000
2008,ARKANSAS,RICE, ACRES PLANTED,ACRE,1401000
2008,ARKANSAS,RICE, YIELD, MEASURED IN LB / ACRE,6660
2008,CALIFORNIA,RICE, ACRES HARVESTED,ACRE,517000
2008,CALIFORNIA,RICE, ACRES PLANTED,ACRE,519000
2008,CALIFORNIA,RICE, YIELD, MEASURED IN LB / ACRE,8320
2008,LOUISIANA,RICE, ACRES HARVESTED,ACRE,464000
2008,LOUISIANA,RICE, ACRES PLANTED,ACRE,470000
2008,LOUISIANA,RICE, YIELD, MEASURED IN LB / ACRE,5830
2008,MISSISSIPPI,RICE, ACRES HARVESTED,ACRE,229000
2008,MISSISSIPPI,RICE, ACRES PLANTED,ACRE,230000
2008,MISSISSIPPI,RICE, YIELD, MEASURED IN LB / ACRE,6850
2008,MISSOURI,RICE, ACRES HARVESTED,ACRE,199000
2008,MISSOURI,RICE, ACRES PLANTED,ACRE,200000
2008,MISSOURI,RICE, YIELD, MEASURED IN LB / ACRE,6620
2008,TEXAS,RICE, ACRES HARVESTED,ACRE,172000
2008,TEXAS,RICE, ACRES PLANTED,ACRE,175000
2008,TEXAS,RICE, YIELD, MEASURED IN LB / ACRE,6900
2022,ALABAMA,SOYBEANS, ACRES HARVESTED,ACRE,355000
2022,ALABAMA,SOYBEANS, ACRES PLANTED,ACRE,360000
2022,ALABAMA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,41
2022,ARKANSAS,SOYBEANS, ACRES HARVESTED,ACRE,3140000
2022,ARKANSAS,SOYBEANS, ACRES PLANTED,ACRE,3180000
2022,ARKANSAS,SOYBEANS, YIELD, MEASURED IN BU / ACRE,52
2022,DELAWARE,SOYBEANS, ACRES HARVESTED,ACRE,158000
2022,DELAWARE,SOYBEANS, ACRES PLANTED,ACRE,160000
2022,DELAWARE,SOYBEANS, YIELD, MEASURED IN BU / ACRE,43
2022,GEORGIA,SOYBEANS, ACRES HARVESTED,ACRE,158000
2022,GEORGIA,SOYBEANS, ACRES PLANTED,ACRE,165000
2022,GEORGIA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,41
2022,ILLINOIS,SOYBEANS, ACRES HARVESTED,ACRE,10750000
2022,ILLINOIS,SOYBEANS, ACRES PLANTED,ACRE,10800000
2022,ILLINOIS,SOYBEANS, YIELD, MEASURED IN BU / ACRE,63
2022,INDIANA,SOYBEANS, ACRES HARVESTED,ACRE,5830000
2022,INDIANA,SOYBEANS, ACRES PLANTED,ACRE,5850000
2022,INDIANA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,57.5
2022,IOWA,SOYBEANS, ACRES HARVESTED,ACRE,10030000
2022,IOWA,SOYBEANS, ACRES PLANTED,ACRE,10100000
2022,IOWA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,58.5
2022,KANSAS,SOYBEANS, ACRES HARVESTED,ACRE,4720000
2022,KANSAS,SOYBEANS, ACRES PLANTED,ACRE,5050000
2022,KANSAS,SOYBEANS, YIELD, MEASURED IN BU / ACRE,27.5
2022,KENTUCKY,SOYBEANS, ACRES HARVESTED,ACRE,1940000
2022,KENTUCKY,SOYBEANS, ACRES PLANTED,ACRE,1950000
2022,KENTUCKY,SOYBEANS, YIELD, MEASURED IN BU / ACRE,51
2022,LOUISIANA,SOYBEANS, ACRES HARVESTED,ACRE,1210000
2022,LOUISIANA,SOYBEANS, ACRES PLANTED,ACRE,1260000
2022,LOUISIANA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,47
2022,MARYLAND,SOYBEANS, ACRES HARVESTED,ACRE,510000
2022,MARYLAND,SOYBEANS, ACRES PLANTED,ACRE,520000
2022,MARYLAND,SOYBEANS, YIELD, MEASURED IN BU / ACRE,43
2022,MICHIGAN,SOYBEANS, ACRES HARVESTED,ACRE,2240000
2022,MICHIGAN,SOYBEANS, ACRES PLANTED,ACRE,2250000
2022,MICHIGAN,SOYBEANS, YIELD, MEASURED IN BU / ACRE,47
2022,MINNESOTA,SOYBEANS, ACRES HARVESTED,ACRE,7390000
2022,MINNESOTA,SOYBEANS, ACRES PLANTED,ACRE,7450000
2022,MINNESOTA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,50
2022,MISSISSIPPI,SOYBEANS, ACRES HARVESTED,ACRE,2290000
2022,MISSISSIPPI,SOYBEANS, ACRES PLANTED,ACRE,2310000
2022,MISSISSIPPI,SOYBEANS, YIELD, MEASURED IN BU / ACRE,54
2022,MISSOURI,SOYBEANS, ACRES HARVESTED,ACRE,6040000
2022,MISSOURI,SOYBEANS, ACRES PLANTED,ACRE,6100000
2022,MISSOURI,SOYBEANS, YIELD, MEASURED IN BU / ACRE,45.5
2022,NEBRASKA,SOYBEANS, ACRES HARVESTED,ACRE,5650000
2022,NEBRASKA,SOYBEANS, ACRES PLANTED,ACRE,5750000
2022,NEBRASKA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,49
2022,NEW JERSEY,SOYBEANS, ACRES HARVESTED,ACRE,108000
2022,NEW JERSEY,SOYBEANS, ACRES PLANTED,ACRE,110000
2022,NEW JERSEY,SOYBEANS, YIELD, MEASURED IN BU / ACRE,28
2022,NEW YORK,SOYBEANS, ACRES HARVESTED,ACRE,325000
2022,NEW YORK,SOYBEANS, ACRES PLANTED,ACRE,350000
2022,NEW YORK,SOYBEANS, YIELD, MEASURED IN BU / ACRE,45
2022,NORTH CAROLINA,SOYBEANS, ACRES HARVESTED,ACRE,1680000
2022,NORTH CAROLINA,SOYBEANS, ACRES PLANTED,ACRE,1700000
2022,NORTH CAROLINA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,38.5
2022,NORTH DAKOTA,SOYBEANS, ACRES HARVESTED,ACRE,5670000
2022,NORTH DAKOTA,SOYBEANS, ACRES PLANTED,ACRE,5700000
2022,NORTH DAKOTA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,35
2022,OHIO,SOYBEANS, ACRES HARVESTED,ACRE,5080000
2022,OHIO,SOYBEANS, ACRES PLANTED,ACRE,5100000
2022,OHIO,SOYBEANS, YIELD, MEASURED IN BU / ACRE,55.5
2022,OKLAHOMA,SOYBEANS, ACRES HARVESTED,ACRE,380000
2022,OKLAHOMA,SOYBEANS, ACRES PLANTED,ACRE,545000
2022,OKLAHOMA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,17
2022,PENNSYLVANIA,SOYBEANS, ACRES HARVESTED,ACRE,590000
2022,PENNSYLVANIA,SOYBEANS, ACRES PLANTED,ACRE,600000
2022,PENNSYLVANIA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,43
2022,SOUTH CAROLINA,SOYBEANS, ACRES HARVESTED,ACRE,390000
2022,SOUTH CAROLINA,SOYBEANS, ACRES PLANTED,ACRE,405000
2022,SOUTH CAROLINA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,37
2022,SOUTH DAKOTA,SOYBEANS, ACRES HARVESTED,ACRE,5070000
2022,SOUTH DAKOTA,SOYBEANS, ACRES PLANTED,ACRE,5100000
2022,SOUTH DAKOTA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,38
2022,TENNESSEE,SOYBEANS, ACRES HARVESTED,ACRE,1620000
2022,TENNESSEE,SOYBEANS, ACRES PLANTED,ACRE,1650000
2022,TENNESSEE,SOYBEANS, YIELD, MEASURED IN BU / ACRE,48
2022,TEXAS,SOYBEANS, ACRES HARVESTED,ACRE,85000
2022,TEXAS,SOYBEANS, ACRES PLANTED,ACRE,155000
2022,TEXAS,SOYBEANS, YIELD, MEASURED IN BU / ACRE,20
2022,VIRGINIA,SOYBEANS, ACRES HARVESTED,ACRE,610000
2022,VIRGINIA,SOYBEANS, ACRES PLANTED,ACRE,620000
2022,VIRGINIA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,41
2022,WISCONSIN,SOYBEANS, ACRES HARVESTED,ACRE,2150000
2022,WISCONSIN,SOYBEANS, ACRES PLANTED,ACRE,2160000
2022,WISCONSIN,SOYBEANS, YIELD, MEASURED IN BU / ACRE,54
2021,ALABAMA,SOYBEANS, ACRES HARVESTED,ACRE,305000
2021,ALABAMA,SOYBEANS, ACRES PLANTED,ACRE,310000
2021,ALABAMA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,46
2021,ARKANSAS,SOYBEANS, ACRES HARVESTED,ACRE,3000000
2021,ARKANSAS,SOYBEANS, ACRES PLANTED,ACRE,3040000
2021,ARKANSAS,SOYBEANS, YIELD, MEASURED IN BU / ACRE,52
2021,DELAWARE,SOYBEANS, ACRES HARVESTED,ACRE,153000
2021,DELAWARE,SOYBEANS, ACRES PLANTED,ACRE,155000
2021,DELAWARE,SOYBEANS, YIELD, MEASURED IN BU / ACRE,51
2021,GEORGIA,SOYBEANS, ACRES HARVESTED,ACRE,135000
2021,GEORGIA,SOYBEANS, ACRES PLANTED,ACRE,140000
2021,GEORGIA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,46
2021,ILLINOIS,SOYBEANS, ACRES HARVESTED,ACRE,10510000
2021,ILLINOIS,SOYBEANS, ACRES PLANTED,ACRE,10600000
2021,ILLINOIS,SOYBEANS, YIELD, MEASURED IN BU / ACRE,65
2021,INDIANA,SOYBEANS, ACRES HARVESTED,ACRE,5640000
2021,INDIANA,SOYBEANS, ACRES PLANTED,ACRE,5650000
2021,INDIANA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,60
2021,IOWA,SOYBEANS, ACRES HARVESTED,ACRE,10030000
2021,IOWA,SOYBEANS, ACRES PLANTED,ACRE,10100000
2021,IOWA,SOYBEANS, YIELD, MEASURED IN BU / ACRE,63
2021,KANSAS,SOYBEANS, ACRES HARVESTED,ACRE,4800000
2021,KANSAS,SOYBEANS, ACRES PLANTED,ACRE,4850000
2021,KANSAS,SOYBEANS, YIELD, MEASURED IN BU / ACRE,40
2021,KENTUCKY,SOYBEANS, ACRES HARVESTED,ACRE,1840000
2021,KENTUCKY,SOYBEANS, ACRES PLANTED,ACRE,1850000
2021,KENTUCKY,SOYBEANS, YIELD, MEASURED IN BU / ACRE,56
